epsilon,h,arl0,sdrl0
0.1,1712.890625,369.138,362.3669
0.2,865.625,370.6684,362.0783
0.3,579.2472839,369.8825,366.1676
0.4,438.1225586,370.892,366.4267
0.5,352.9296875,369.3598,361.9255
0.6,296.1914063,370.1446,359.2172
0.7,255.9288025,369.7413,364.8975
0.8,224.7558594,369.5822,362.4294
0.9,201.5724182,370.652,365.4759
1,182.9133224,369.3817,361.6937
1.5,126.578455,370.4019,363.5579
2,98.05175781,370.1907,359.4968
2.5,81.63085938,370.9761,359.5847
3,70.4675293,369.7308,359.5107
3.5,62.40112305,369.0709,358.6947
4,56.53137207,370.6087,368.7374
4.5,52.17407227,369.9609,360.0712
5,48.63601685,370.4814,360.1328
