epsilopn,h,arl0,sdrl0
0.1,402.34375,369.8394,357.5245
0.2,203.7109375,370.9992,365.4403
0.3,137.5732422,369.3458,366.5924
0.4,104.8340917,370.4131,362.6715
0.5,84.67102051,369.2455,363.4586
0.6,71.69433594,370.974,360.2861
0.7,61.953125,369.2747,360.472
0.8,55.07774353,370.6841,361.2013
0.9,49.49829102,370.1759,364.5472
1,44.97192383,369.1706,356.1285
1.5,32.03815937,370.9792,361.4389
2,25.65429688,369.6595,359.3098
2.5,21.89697266,370.1105,357.0147
3,19.32617188,369.1137,362.1619
3.5,17.65625,369.3165,360.0327
4,16.40380859,369.574,366.9483
4.5,15.46173096,369.4515,363.9565
5,14.71363068,370.7329,362.5421
